Area,Midpoint,Confidence,ID,Class
2601.5964,"(735.9058837890625, 538.0753173828125)",0.4210419,1.0,2.0
2383.29,"(737.072509765625, 538.6317138671875)",0.16974102,1.0,4.0
2752.9775,"(736.626220703125, 536.3348999023438)",0.55557317,1.0,2.0
2839.2842,"(736.5784912109375, 534.9192504882812)",0.594095,1.0,2.0
2864.8142,"(736.080078125, 533.30712890625)",0.6462087,1.0,2.0
2831.2302,"(735.51708984375, 531.8048095703125)",0.6436055,1.0,2.0
2806.7495,"(735.400390625, 531.855224609375)",0.621784,1.0,2.0
2710.6262,"(735.5904541015625, 532.8516845703125)",0.5777474,1.0,2.0
2533.9675,"(734.953369140625, 534.2448120117188)",0.50065726,1.0,2.0
2506.22,"(734.4847412109375, 535.4612426757812)",0.5027769,1.0,2.0
2498.137,"(734.8720703125, 538.659912109375)",0.5756623,1.0,2.0
2595.2444,"(733.970947265625, 537.8963012695312)",0.6485693,1.0,2.0
2557.2466,"(733.396728515625, 537.3572998046875)",0.63718665,1.0,2.0
2575.446,"(734.246337890625, 537.952392578125)",0.66398317,1.0,2.0
2667.361,"(733.6118774414062, 535.5423583984375)",0.64753246,1.0,2.0
2633.1528,"(733.7310791015625, 534.158203125)",0.6457616,1.0,2.0
2629.0137,"(734.1695556640625, 533.470703125)",0.64229834,1.0,2.0
2653.6309,"(734.7069091796875, 533.0208740234375)",0.6061275,1.0,2.0
2711.2043,"(735.07958984375, 532.822998046875)",0.6188547,1.0,2.0
2732.181,"(734.888671875, 532.0927734375)",0.6361884,1.0,2.0
2752.502,"(734.9913330078125, 532.0931396484375)",0.608732,1.0,2.0
2776.9543,"(734.65576171875, 532.1537475585938)",0.59650177,1.0,2.0
2792.6155,"(735.088623046875, 532.5155029296875)",0.5824428,1.0,2.0
2779.3076,"(735.1568603515625, 533.0101318359375)",0.5660233,1.0,2.0
2712.9097,"(735.6220092773438, 533.2763061523438)",0.54121023,1.0,2.0
2608.2502,"(735.1553955078125, 532.9992065429688)",0.62821877,1.0,2.0
2612.2556,"(735.0834350585938, 533.28125)",0.6776597,1.0,2.0
2495.795,"(735.3455200195312, 534.1430053710938)",0.6406381,1.0,2.0
2438.189,"(735.4447021484375, 533.8551635742188)",0.65373015,1.0,2.0
2520.1855,"(734.3997192382812, 532.747314453125)",0.65619385,1.0,2.0
2527.3281,"(734.8292236328125, 535.1717529296875)",0.68081564,1.0,2.0
2455.2415,"(735.2249145507812, 536.8405151367188)",0.67431486,1.0,2.0
2489.4534,"(735.3458251953125, 537.8768310546875)",0.6626988,1.0,2.0
2511.1228,"(735.6175537109375, 539.1536865234375)",0.64860195,1.0,2.0
2430.8281,"(736.3753662109375, 539.2200927734375)",0.61126405,1.0,2.0
2513.806,"(734.6661376953125, 537.207275390625)",0.6426014,1.0,2.0
2800.152,"(734.2940673828125, 534.9876098632812)",0.6781345,1.0,2.0
2891.26,"(734.4638671875, 533.257080078125)",0.7022278,1.0,2.0
2640.452,"(735.9356689453125, 534.3753051757812)",0.615616,1.0,2.0
2540.9602,"(736.6063232421875, 534.532958984375)",0.6079598,1.0,2.0
2526.0388,"(736.626708984375, 534.504150390625)",0.61809844,1.0,2.0
2637.603,"(736.091064453125, 533.8591918945312)",0.5763507,1.0,2.0
2577.0608,"(736.1913452148438, 535.7673950195312)",0.5579397,1.0,2.0
2501.089,"(735.7891235351562, 536.836181640625)",0.5308823,1.0,2.0
2428.8345,"(735.388427734375, 538.0048828125)",0.5882176,1.0,2.0
2388.2463,"(734.5579833984375, 538.0967407226562)",0.60494214,1.0,2.0
2519.93,"(734.2368774414062, 537.66064453125)",0.61350644,1.0,2.0
2538.524,"(734.1808471679688, 537.7073364257812)",0.626827,1.0,2.0
2507.153,"(734.26220703125, 537.23779296875)",0.63133943,1.0,2.0
2533.7478,"(734.1427612304688, 536.6972045898438)",0.6272404,1.0,2.0
2641.2136,"(733.7056274414062, 534.1390380859375)",0.6739082,1.0,2.0
2546.0247,"(734.9283447265625, 534.18359375)",0.6371659,1.0,2.0
2633.1812,"(735.3646240234375, 533.7291259765625)",0.614681,1.0,2.0
